system,completeness,lognr,noise,algo,metric,value,dimension,experiment
1_5,1,1,2,alpha,Alignment Based Generalization,0.999903672022502,Generalization,1B
1_5,1,1,2,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,1,2,alpha,Behavioral Generalization,0.205697296470219,Generalization,1B
1_5,1,1,2,alpha,Behavioral Precision,1,Precision,1B
1_5,1,1,2,alpha,Behavioral Recall,0.0946957370647576,Fitness,1B
1_5,1,1,2,alpha,One Align,1,Precision,1B
1_5,1,1,2,alpha,Token Based Fitness,0.173008322715759,Fitness,1B
1_5,1,1,2,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,1,2,flower,Alignment Based Generalization,0.999999215440021,Generalization,1B
1_5,1,1,2,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,1,2,flower,Behavioral Precision,0.124761997063743,Precision,1B
1_5,1,1,2,flower,Behavioral Recall,1,Fitness,1B
1_5,1,1,2,flower,One Align,0.36067433810828,Precision,1B
1_5,1,1,2,flower,Token Based Fitness,1,Fitness,1B
1_5,1,1,2,heuristics,Alignment Based Fitness,0.827705167261419,Fitness,1B
1_5,1,1,2,heuristics,Alignment Based Generalization,0.998871953383101,Generalization,1B
1_5,1,1,2,heuristics,Behavioral Generalization,0.318420138743415,Generalization,1B
1_5,1,1,2,heuristics,Behavioral Precision,0.358636869664188,Precision,1B
1_5,1,1,2,heuristics,Behavioral Recall,0.845780453411433,Fitness,1B
1_5,1,1,2,heuristics,One Align,0.778711830881444,Precision,1B
1_5,1,1,2,ILP,Alignment Based Fitness,0.119672245777435,Fitness,1B
1_5,1,1,2,ILP,Alignment Based Generalization,0.999997247772071,Generalization,1B
1_5,1,1,2,ILP,Behavioral Generalization,0.971668787984122,Generalization,1B
1_5,1,1,2,ILP,Behavioral Precision,0.144453556745414,Precision,1B
1_5,1,1,2,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,1,2,ILP,One Align,0.0769230769230769,Precision,1B
1_5,1,1,2,ILP,Token Based Fitness,0.930126011371612,Fitness,1B
1_5,1,1,2,inductive,Alignment Based Fitness,0.878535834740366,Fitness,1B
1_5,1,1,2,inductive,Alignment Based Generalization,0.913248357799434,Generalization,1B
1_5,1,1,2,inductive,Alignment Based Precision,0.608739182262103,Precision,1B
