system,completeness,lognr,noise,algo,metric,value,dimension,experiment
2_4,3,4,1,ILP,One Align,0,Precision,1B
2_4,3,4,1,ILP,Token Based Fitness,0.608102440834045,Fitness,1B
2_4,3,4,1,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,3,4,1,inductive,Alignment Based Precision,0,Precision,1B
2_4,3,4,1,inductive,Behavioral Generalization,0.688789060824801,Generalization,1B
2_4,3,4,1,inductive,Behavioral Precision,0.0976187160770932,Precision,1B
2_4,3,4,1,inductive,Behavioral Recall,0.950018135654697,Fitness,1B
2_4,3,4,1,inductive,Token Based Fitness,0.985465168952942,Fitness,1B
2_4,3,4,2,alpha,Alignment Based Fitness,0.104595450275671,Fitness,1B
2_4,3,4,2,alpha,Alignment Based Generalization,0.99996259351621,Generalization,1B
2_4,3,4,2,alpha,Alignment Based Precision,1,Precision,1B
2_4,3,4,2,alpha,Behavioral Generalization,0.0235325639916503,Generalization,1B
2_4,3,4,2,alpha,Behavioral Precision,1,Precision,1B
2_4,3,4,2,alpha,Behavioral Recall,0.00290378276565688,Fitness,1B
2_4,3,4,2,alpha,One Align,1,Precision,1B
2_4,3,4,2,alpha,Token Based Fitness,0.254449784755707,Fitness,1B
2_4,3,4,2,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,4,2,flower,Alignment Based Generalization,0.999997320167375,Generalization,1B
2_4,3,4,2,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,4,2,flower,Behavioral Precision,0.0935639975562251,Precision,1B
2_4,3,4,2,flower,Behavioral Recall,1,Fitness,1B
2_4,3,4,2,flower,One Align,0.194872128526748,Precision,1B
2_4,3,4,2,flower,Token Based Fitness,1,Fitness,1B
2_4,3,4,2,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,4,2,heuristics,Alignment Based Precision,0,Precision,1B
2_4,3,4,2,heuristics,Behavioral Generalization,0.110921112995735,Generalization,1B
2_4,3,4,2,heuristics,Behavioral Precision,0.696258419051602,Precision,1B
2_4,3,4,2,heuristics,Behavioral Recall,0.927797833935018,Fitness,1B
2_4,3,4,2,heuristics,Token Based Fitness,0.973067760467529,Fitness,1B
2_4,3,4,2,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,3,4,2,ILP,Alignment Based Precision,0,Precision,1B
2_4,3,4,2,ILP,Best Align,0.195504835782303,Precision,1B
2_4,3,4,2,ILP,Behavioral Generalization,1,Generalization,1B
2_4,3,4,2,ILP,Behavioral Precision,0.0935639975562251,Precision,1B
2_4,3,4,2,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,4,2,ILP,One Align,0,Precision,1B
2_4,3,4,2,ILP,Token Based Fitness,1,Fitness,1B
2_4,3,4,2,inductive,Alignment Based Precision,0,Precision,1B
2_4,3,4,2,inductive,Behavioral Generalization,0.765759914724458,Generalization,1B
2_4,3,4,2,inductive,Behavioral Precision,0.102319698603506,Precision,1B
2_4,3,4,2,inductive,Behavioral Recall,0.944278763145503,Fitness,1B
2_4,3,4,2,inductive,Token Based Fitness,0.978828430175781,Fitness,1B
2_4,3,4,3,alpha,Alignment Based Fitness,0.139571103926336,Fitness,1B
2_4,3,4,3,alpha,Alignment Based Generalization,0.999818842142494,Generalization,1B
2_4,3,4,3,alpha,Alignment Based Precision,1,Precision,1B
2_4,3,4,3,alpha,Behavioral Generalization,0.0639360821223532,Generalization,1B
2_4,3,4,3,alpha,Behavioral Precision,1,Precision,1B
2_4,3,4,3,alpha,Behavioral Recall,0.0242859741677279,Fitness,1B
2_4,3,4,3,alpha,One Align,1,Precision,1B
2_4,3,4,3,alpha,Token Based Fitness,0.219823092222214,Fitness,1B
2_4,3,4,3,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,4,3,flower,Alignment Based Generalization,0.999997036707782,Generalization,1B
2_4,3,4,3,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,4,3,flower,Behavioral Precision,0.103055897298515,Precision,1B
2_4,3,4,3,flower,Behavioral Recall,1,Fitness,1B
2_4,3,4,3,flower,One Align,0.223915516882201,Precision,1B
2_4,3,4,3,flower,Token Based Fitness,1,Fitness,1B
2_4,3,4,3,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,4,3,heuristics,Behavioral Generalization,0.0988907555777377,Generalization,1B
2_4,3,4,3,heuristics,Behavioral Precision,0.612161263532812,Precision,1B
2_4,3,4,3,heuristics,Behavioral Recall,0.896579952701474,Fitness,1B
2_4,3,4,3,heuristics,Token Based Fitness,0.95446515083313,Fitness,1B
2_4,3,4,3,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,3,4,3,ILP,Behavioral Generalization,1,Generalization,1B
2_4,3,4,3,ILP,Behavioral Precision,0.103055897298515,Precision,1B
2_4,3,4,3,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,4,3,ILP,One Align,0,Precision,1B
2_4,3,4,3,ILP,Token Based Fitness,1,Fitness,1B
2_4,3,4,3,inductive,Alignment Based Fitness,0.886348884248563,Fitness,1B
2_4,3,4,3,inductive,Alignment Based Generalization,0.992120438544499,Generalization,1B
2_4,3,4,3,inductive,Alignment Based Precision,0.358015908880778,Precision,1B
2_4,3,4,3,inductive,Best Align,0.85810371013235,Precision,1B
2_4,3,4,3,inductive,Behavioral Generalization,0.766607708070901,Generalization,1B
2_4,3,4,3,inductive,Behavioral Precision,0.120791935279802,Precision,1B
2_4,3,4,3,inductive,Behavioral Recall,0.907767873385483,Fitness,1B
2_4,3,4,3,inductive,One Align,0.422541997237658,Precision,1B
2_4,3,4,3,inductive,Token Based Fitness,0.925781905651092,Fitness,1B
2_4,3,5,0,alpha,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,0,alpha,Alignment Based Precision,0,Precision,1B
2_4,3,5,0,alpha,Behavioral Generalization,0.629226041951543,Generalization,1B
2_4,3,5,0,alpha,Behavioral Precision,0.934086631281722,Precision,1B
2_4,3,5,0,alpha,Behavioral Recall,0.875445088319486,Fitness,1B
2_4,3,5,0,alpha,Token Based Fitness,0.898594498634338,Fitness,1B
2_4,3,5,0,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,5,0,flower,Alignment Based Generalization,0.99999667546339,Generalization,1B
2_4,3,5,0,flower,Best Align,0.0858556714726359,Precision,1B
2_4,3,5,0,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,5,0,flower,Behavioral Precision,0.068460491863602,Precision,1B
2_4,3,5,0,flower,Behavioral Recall,1,Fitness,1B
2_4,3,5,0,flower,One Align,0.0858556714726359,Precision,1B
2_4,3,5,0,flower,Token Based Fitness,1,Fitness,1B
2_4,3,5,0,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,0,heuristics,Alignment Based Precision,0,Precision,1B
2_4,3,5,0,heuristics,Behavioral Generalization,0.877607764869162,Generalization,1B
2_4,3,5,0,heuristics,Behavioral Precision,0.900019664015666,Precision,1B
2_4,3,5,0,heuristics,Behavioral Recall,0.951895552607694,Fitness,1B
2_4,3,5,0,heuristics,Token Based Fitness,0.987973928451538,Fitness,1B
2_4,3,5,0,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,0,ILP,Behavioral Generalization,1,Generalization,1B
2_4,3,5,0,ILP,Behavioral Precision,0.311874273323691,Precision,1B
2_4,3,5,0,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,5,0,ILP,One Align,0,Precision,1B
2_4,3,5,0,ILP,Token Based Fitness,0.976581633090973,Fitness,1B
2_4,3,5,0,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,0,inductive,Alignment Based Precision,0,Precision,1B
2_4,3,5,0,inductive,Behavioral Generalization,0.877607764869162,Generalization,1B
2_4,3,5,0,inductive,Behavioral Precision,0.850076426880789,Precision,1B
2_4,3,5,0,inductive,Behavioral Recall,0.951895552607694,Fitness,1B
2_4,3,5,0,inductive,Token Based Fitness,0.98100358247757,Fitness,1B
2_4,3,5,1,alpha,Alignment Based Fitness,0.0916452484451522,Fitness,1B
2_4,3,5,1,alpha,Alignment Based Generalization,0.999980284300388,Generalization,1B
2_4,3,5,1,alpha,Alignment Based Precision,1,Precision,1B
2_4,3,5,1,alpha,Best Align,1,Precision,1B
2_4,3,5,1,alpha,Behavioral Generalization,0.0384655750900629,Generalization,1B
2_4,3,5,1,alpha,Behavioral Precision,0.35195589749355,Precision,1B
2_4,3,5,1,alpha,Behavioral Recall,0.104883907125701,Fitness,1B
2_4,3,5,1,alpha,One Align,1,Precision,1B
2_4,3,5,1,alpha,Token Based Fitness,0.457534521818161,Fitness,1B
2_4,3,5,1,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,5,1,flower,Alignment Based Generalization,0.999997000823649,Generalization,1B
2_4,3,5,1,flower,Best Align,0.157922923765964,Precision,1B
2_4,3,5,1,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,5,1,flower,Behavioral Precision,0.0837466881772888,Precision,1B
2_4,3,5,1,flower,Behavioral Recall,1,Fitness,1B
2_4,3,5,1,flower,One Align,0.157922923765964,Precision,1B
2_4,3,5,1,flower,Token Based Fitness,1,Fitness,1B
2_4,3,5,1,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,1,heuristics,Behavioral Generalization,0.128908475146135,Generalization,1B
2_4,3,5,1,heuristics,Behavioral Precision,0.861484661297987,Precision,1B
2_4,3,5,1,heuristics,Behavioral Recall,0.941626028095204,Fitness,1B
2_4,3,5,1,heuristics,Token Based Fitness,0.982002556324005,Fitness,1B
2_4,3,5,1,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,1,ILP,Behavioral Generalization,0.985645295962298,Generalization,1B
2_4,3,5,1,ILP,Behavioral Precision,0.0862630868333393,Precision,1B
2_4,3,5,1,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,5,1,ILP,One Align,0,Precision,1B
2_4,3,5,1,ILP,Token Based Fitness,0.607517659664154,Fitness,1B
2_4,3,5,1,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,1,inductive,Alignment Based Precision,0,Precision,1B
2_4,3,5,1,inductive,Behavioral Generalization,0.69876166366796,Generalization,1B
2_4,3,5,1,inductive,Behavioral Precision,0.119033769274922,Precision,1B
2_4,3,5,1,inductive,Behavioral Recall,0.947448868185458,Fitness,1B
2_4,3,5,1,inductive,Token Based Fitness,0.985736697912216,Fitness,1B
2_4,3,5,2,alpha,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,2,alpha,Alignment Based Precision,0,Precision,1B
2_4,3,5,2,alpha,Behavioral Generalization,0.0288487715499323,Generalization,1B
2_4,3,5,2,alpha,Behavioral Precision,0.0682930790619331,Precision,1B
2_4,3,5,2,alpha,Behavioral Recall,0.0356625342134922,Fitness,1B
2_4,3,5,2,alpha,Token Based Fitness,0.387082993984222,Fitness,1B
2_4,3,5,2,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,5,2,flower,Alignment Based Generalization,0.999996932627855,Generalization,1B
2_4,3,5,2,flower,Best Align,0.201601216354263,Precision,1B
2_4,3,5,2,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,5,2,flower,Behavioral Precision,0.0956354632584798,Precision,1B
2_4,3,5,2,flower,Behavioral Recall,1,Fitness,1B
2_4,3,5,2,flower,One Align,0.201601216354263,Precision,1B
2_4,3,5,2,flower,Token Based Fitness,1,Fitness,1B
2_4,3,5,2,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,2,heuristics,Behavioral Generalization,0.10809879197892901,Generalization,1B
2_4,3,5,2,heuristics,Behavioral Precision,0.697853213511526,Precision,1B
2_4,3,5,2,heuristics,Behavioral Recall,0.92151022379649,Fitness,1B
2_4,3,5,2,heuristics,Token Based Fitness,0.9705367386341095,Fitness,1B
2_4,3,5,2,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,2,ILP,Best Align,0.174990000629402,Precision,1B
2_4,3,5,2,ILP,Behavioral Generalization,0.99821428683291,Generalization,1B
2_4,3,5,2,ILP,Behavioral Precision,0.0963708912534298,Precision,1B
2_4,3,5,2,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,5,2,ILP,One Align,0,Precision,1B
2_4,3,5,2,ILP,Token Based Fitness,0.62422239780426,Fitness,1B
2_4,3,5,2,inductive,Alignment Based Fitness,0.963429662148479,Fitness,1B
2_4,3,5,2,inductive,Alignment Based Precision,0.28748019017432,Precision,1B
2_4,3,5,2,inductive,Behavioral Generalization,0.783255837879765,Generalization,1B
2_4,3,5,2,inductive,Behavioral Precision,0.121246445707872,Precision,1B
2_4,3,5,2,inductive,Behavioral Recall,0.989212687167928,Fitness,1B
2_4,3,5,2,inductive,One Align,0.338280660122964,Precision,1B
2_4,3,5,2,inductive,Token Based Fitness,0.930425047874451,Fitness,1B
2_4,3,5,3,alpha,Alignment Based Fitness,0.138849085469486,Fitness,1B
2_4,3,5,3,alpha,Alignment Based Generalization,0.99975744975745,Generalization,1B
2_4,3,5,3,alpha,Alignment Based Precision,1,Precision,1B
2_4,3,5,3,alpha,Behavioral Generalization,0.0797189222530457,Generalization,1B
2_4,3,5,3,alpha,Behavioral Precision,1,Precision,1B
2_4,3,5,3,alpha,Behavioral Recall,0.0231498698400893,Fitness,1B
2_4,3,5,3,alpha,One Align,1,Precision,1B
2_4,3,5,3,alpha,Token Based Fitness,0.287017345428467,Fitness,1B
2_4,3,5,3,flower,Alignment Based Fitness,1,Fitness,1B
2_4,3,5,3,flower,Alignment Based Generalization,0.99999660147214,Generalization,1B
2_4,3,5,3,flower,Behavioral Generalization,1,Generalization,1B
2_4,3,5,3,flower,Behavioral Precision,0.103459477784127,Precision,1B
2_4,3,5,3,flower,Behavioral Recall,1,Fitness,1B
2_4,3,5,3,flower,One Align,0.227176035993885,Precision,1B
2_4,3,5,3,flower,Token Based Fitness,1,Fitness,1B
2_4,3,5,3,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,3,heuristics,Behavioral Generalization,0.100929399602145,Generalization,1B
2_4,3,5,3,heuristics,Behavioral Precision,0.643200662664814,Precision,1B
2_4,3,5,3,heuristics,Behavioral Recall,0.890572703607289,Fitness,1B
2_4,3,5,3,heuristics,Token Based Fitness,0.9517206847667695,Fitness,1B
2_4,3,5,3,ILP,Alignment Based Fitness,0.083373897488085,Fitness,1B
2_4,3,5,3,ILP,Alignment Based Generalization,0.999991337491338,Generalization,1B
2_4,3,5,3,ILP,Behavioral Generalization,0.998884853821791,Generalization,1B
2_4,3,5,3,ILP,Behavioral Precision,0.104501865507206,Precision,1B
2_4,3,5,3,ILP,Behavioral Recall,1,Fitness,1B
2_4,3,5,3,ILP,One Align,0.0344827586206897,Precision,1B
2_4,3,5,3,ILP,Token Based Fitness,0.864296078681946,Fitness,1B
2_4,3,5,3,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,3,5,3,inductive,Behavioral Generalization,0.7693681213035,Generalization,1B
2_4,3,5,3,inductive,Behavioral Precision,0.112991946222395,Precision,1B
2_4,3,5,3,inductive,Behavioral Recall,0.928226106359241,Fitness,1B
2_4,3,5,3,inductive,Token Based Fitness,0.971476316452026,Fitness,1B
2_4,4,1,0,alpha,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,0,alpha,Alignment Based Precision,0,Precision,1B
2_4,4,1,0,alpha,Behavioral Generalization,0.7228406213996,Generalization,1B
2_4,4,1,0,alpha,Behavioral Precision,0.935733393868344,Precision,1B
2_4,4,1,0,alpha,Behavioral Recall,0.878183292781833,Fitness,1B
2_4,4,1,0,alpha,Token Based Fitness,0.900008201599121,Fitness,1B
2_4,4,1,0,flower,Alignment Based Fitness,1,Fitness,1B
2_4,4,1,0,flower,Alignment Based Generalization,0.999985436486698,Generalization,1B
2_4,4,1,0,flower,Best Align,0.0835355889263854,Precision,1B
2_4,4,1,0,flower,Behavioral Generalization,1,Generalization,1B
2_4,4,1,0,flower,Behavioral Precision,0.0682692724555075,Precision,1B
2_4,4,1,0,flower,Behavioral Recall,1,Fitness,1B
2_4,4,1,0,flower,One Align,0.0835355889263854,Precision,1B
2_4,4,1,0,flower,Token Based Fitness,1,Fitness,1B
2_4,4,1,0,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,0,heuristics,Alignment Based Precision,0,Precision,1B
2_4,4,1,0,heuristics,Behavioral Generalization,0.870556410540477,Generalization,1B
2_4,4,1,0,heuristics,Behavioral Precision,0.869363478843739,Precision,1B
2_4,4,1,0,heuristics,Behavioral Recall,0.954420113544201,Fitness,1B
2_4,4,1,0,heuristics,Token Based Fitness,0.98860502243042,Fitness,1B
2_4,4,1,0,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,0,ILP,Behavioral Generalization,1,Generalization,1B
2_4,4,1,0,ILP,Behavioral Precision,0.305770655415413,Precision,1B
2_4,4,1,0,ILP,Behavioral Recall,1,Fitness,1B
2_4,4,1,0,ILP,One Align,0,Precision,1B
2_4,4,1,0,ILP,Token Based Fitness,0.977288007736206,Fitness,1B
2_4,4,1,0,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,0,inductive,Alignment Based Precision,0,Precision,1B
2_4,4,1,0,inductive,Behavioral Generalization,0.870556410540477,Generalization,1B
2_4,4,1,0,inductive,Behavioral Precision,0.821080134408102,Precision,1B
2_4,4,1,0,inductive,Behavioral Recall,0.954420113544201,Fitness,1B
2_4,4,1,0,inductive,Token Based Fitness,0.981868624687195,Fitness,1B
2_4,4,1,1,alpha,Alignment Based Fitness,0.0860109302179354,Fitness,1B
2_4,4,1,1,alpha,Alignment Based Generalization,0.999742002063983,Generalization,1B
2_4,4,1,1,alpha,Alignment Based Precision,1,Precision,1B
2_4,4,1,1,alpha,Best Align,0.25,Precision,1B
2_4,4,1,1,alpha,Behavioral Generalization,0.127454698285522,Generalization,1B
2_4,4,1,1,alpha,Behavioral Precision,0.135425565400017,Precision,1B
2_4,4,1,1,alpha,Behavioral Recall,0.169275263695134,Fitness,1B
2_4,4,1,1,alpha,One Align,0.5,Precision,1B
2_4,4,1,1,alpha,Token Based Fitness,0.498125940561295,Fitness,1B
2_4,4,1,1,flower,Alignment Based Fitness,1,Fitness,1B
2_4,4,1,1,flower,Alignment Based Generalization,0.99998622783183,Generalization,1B
2_4,4,1,1,flower,Best Align,0.130786744244877,Precision,1B
2_4,4,1,1,flower,Behavioral Generalization,1,Generalization,1B
2_4,4,1,1,flower,Behavioral Precision,0.0774914379134519,Precision,1B
2_4,4,1,1,flower,Behavioral Recall,1,Fitness,1B
2_4,4,1,1,flower,One Align,0.130786744244877,Precision,1B
2_4,4,1,1,flower,Token Based Fitness,1,Fitness,1B
2_4,4,1,1,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,1,heuristics,Alignment Based Precision,0,Precision,1B
2_4,4,1,1,heuristics,Behavioral Generalization,0.155223730629763,Generalization,1B
2_4,4,1,1,heuristics,Behavioral Precision,0.810732608011017,Precision,1B
2_4,4,1,1,heuristics,Behavioral Recall,0.94385845525689,Fitness,1B
2_4,4,1,1,heuristics,Token Based Fitness,0.9827880859375,Fitness,1B
2_4,4,1,1,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,1,ILP,Behavioral Generalization,0.982218707857904,Generalization,1B
2_4,4,1,1,ILP,Behavioral Precision,0.0842560406311524,Precision,1B
2_4,4,1,1,ILP,Behavioral Recall,1,Fitness,1B
2_4,4,1,1,ILP,One Align,0,Precision,1B
2_4,4,1,1,ILP,Token Based Fitness,0.654288411140442,Fitness,1B
2_4,4,1,1,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,1,inductive,Alignment Based Precision,0,Precision,1B
2_4,4,1,1,inductive,Behavioral Generalization,0.605911120778722,Generalization,1B
2_4,4,1,1,inductive,Behavioral Precision,0.126384287493991,Precision,1B
2_4,4,1,1,inductive,Behavioral Recall,0.948792106158557,Fitness,1B
2_4,4,1,1,inductive,Token Based Fitness,0.7915421426296235,Fitness,1B
2_4,4,1,2,alpha,Alignment Based Fitness,0.052417280167312,Fitness,1B
2_4,4,1,2,alpha,Alignment Based Generalization,0.99994371270967,Generalization,1B
2_4,4,1,2,alpha,Alignment Based Precision,1,Precision,1B
2_4,4,1,2,alpha,Best Align,1,Precision,1B
2_4,4,1,2,alpha,Behavioral Generalization,0.0156876970683031,Generalization,1B
2_4,4,1,2,alpha,Behavioral Precision,1,Precision,1B
2_4,4,1,2,alpha,Behavioral Recall,9.25069380203515e-4,Fitness,1B
2_4,4,1,2,alpha,One Align,1,Precision,1B
2_4,4,1,2,alpha,Token Based Fitness,0.423147976398468,Fitness,1B
2_4,4,1,2,flower,Alignment Based Fitness,1,Fitness,1B
2_4,4,1,2,flower,Alignment Based Generalization,0.999986740895553,Generalization,1B
2_4,4,1,2,flower,Best Align,0.158179646492872,Precision,1B
2_4,4,1,2,flower,Behavioral Generalization,1,Generalization,1B
2_4,4,1,2,flower,Behavioral Precision,0.0851427875491126,Precision,1B
2_4,4,1,2,flower,Behavioral Recall,1,Fitness,1B
2_4,4,1,2,flower,One Align,0.158179646492872,Precision,1B
2_4,4,1,2,flower,Token Based Fitness,1,Fitness,1B
2_4,4,1,2,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,2,heuristics,Behavioral Generalization,0.10852026205206,Generalization,1B
2_4,4,1,2,heuristics,Behavioral Precision,0.732682774299295,Precision,1B
2_4,4,1,2,heuristics,Behavioral Recall,0.928584643848289,Fitness,1B
2_4,4,1,2,heuristics,Token Based Fitness,0.97304493188858,Fitness,1B
2_4,4,1,2,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,2,ILP,Best Align,0.158682143275882,Precision,1B
2_4,4,1,2,ILP,Behavioral Generalization,1,Generalization,1B
2_4,4,1,2,ILP,Behavioral Precision,0.0851427875491126,Precision,1B
2_4,4,1,2,ILP,Behavioral Recall,1,Fitness,1B
2_4,4,1,2,ILP,One Align,0,Precision,1B
2_4,4,1,2,ILP,Token Based Fitness,1,Fitness,1B
2_4,4,1,2,inductive,Alignment Based Fitness,0.965060018881305,Fitness,1B
2_4,4,1,2,inductive,Alignment Based Generalization,0.999613265516702,Generalization,1B
2_4,4,1,2,inductive,Alignment Based Precision,0.268243407461422,Precision,1B
2_4,4,1,2,inductive,Best Align,0.846599296014534,Precision,1B
2_4,4,1,2,inductive,Behavioral Generalization,0.755230644448797,Generalization,1B
2_4,4,1,2,inductive,Behavioral Precision,0.122344289889003,Precision,1B
2_4,4,1,2,inductive,Behavioral Recall,0.990749306197965,Fitness,1B
2_4,4,1,2,inductive,One Align,0.293368196655786,Precision,1B
2_4,4,1,2,inductive,Token Based Fitness,0.9737443923950195,Fitness,1B
2_4,4,1,3,alpha,Alignment Based Fitness,0.115607434136921,Fitness,1B
2_4,4,1,3,alpha,Alignment Based Generalization,0.999776085982982,Generalization,1B
2_4,4,1,3,alpha,Alignment Based Precision,1,Precision,1B
2_4,4,1,3,alpha,Best Align,1,Precision,1B
2_4,4,1,3,alpha,Behavioral Generalization,0.0529228784491576,Generalization,1B
2_4,4,1,3,alpha,Behavioral Precision,0.0873588230239433,Precision,1B
2_4,4,1,3,alpha,Behavioral Recall,0.0157102334715252,Fitness,1B
2_4,4,1,3,alpha,One Align,1,Precision,1B
2_4,4,1,3,alpha,Token Based Fitness,0.354853689670563,Fitness,1B
2_4,4,1,3,flower,Alignment Based Fitness,1,Fitness,1B
2_4,4,1,3,flower,Alignment Based Generalization,0.999985218826042,Generalization,1B
2_4,4,1,3,flower,Best Align,0.172805838294603,Precision,1B
2_4,4,1,3,flower,Behavioral Generalization,1,Generalization,1B
2_4,4,1,3,flower,Behavioral Precision,0.0914103698287987,Precision,1B
2_4,4,1,3,flower,Behavioral Recall,1,Fitness,1B
2_4,4,1,3,flower,One Align,0.172805838294603,Precision,1B
2_4,4,1,3,flower,Token Based Fitness,1,Fitness,1B
2_4,4,1,3,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,3,heuristics,Behavioral Generalization,0.121482293934766,Generalization,1B
2_4,4,1,3,heuristics,Behavioral Precision,0.652621689911191,Precision,1B
2_4,4,1,3,heuristics,Behavioral Recall,0.898319877809295,Fitness,1B
2_4,4,1,3,heuristics,Token Based Fitness,0.954849123954773,Fitness,1B
2_4,4,1,3,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,4,1,3,ILP,Best Align,0.148533440334478,Precision,1B
2_4,4,1,3,ILP,Behavioral Generalization,0.999247653875126,Generalization,1B
2_4,4,1,3,ILP,Behavioral Precision,0.0921714711383056,Precision,1B
2_4,4,1,3,ILP,Behavioral Recall,1,Fitness,1B
2_4,4,1,3,ILP,One Align,0,Precision,1B
2_4,4,1,3,ILP,Token Based Fitness,0.560522556304932,Fitness,1B
2_4,4,1,3,inductive,Alignment Based Fitness,0.957429109334991,Fitness,1B
2_4,4,1,3,inductive,Alignment Based Precision,0.212057815666851,Precision,1B
2_4,4,1,3,inductive,Best Align,0.663641265276779,Precision,1B
2_4,4,1,3,inductive,Behavioral Generalization,0.879980465657954,Generalization,1B
2_4,4,1,3,inductive,Behavioral Precision,0.112243970424925,Precision,1B
2_4,4,1,3,inductive,Behavioral Recall,0.990181104080297,Fitness,1B
2_4,4,1,3,inductive,One Align,0.308470530284372,Precision,1B
2_4,4,1,3,inductive,Token Based Fitness,0.9506911635398865,Fitness,1B
2_4,4,2,0,alpha,Alignment Based Generalization,0,Generalization,1B
2_4,4,2,0,alpha,Alignment Based Precision,0,Precision,1B
2_4,4,2,0,alpha,Behavioral Generalization,0.707831754167347,Generalization,1B
2_4,4,2,0,alpha,Behavioral Precision,0.93023650283244,Precision,1B
2_4,4,2,0,alpha,Behavioral Recall,0.883327520055808,Fitness,1B
2_4,4,2,0,alpha,Token Based Fitness,0.905135691165924,Fitness,1B
2_4,4,2,0,flower,Alignment Based Fitness,1,Fitness,1B
2_4,4,2,0,flower,Alignment Based Generalization,0.999987148843487,Generalization,1B
2_4,4,2,0,flower,Behavioral Generalization,1,Generalization,1B
2_4,4,2,0,flower,Behavioral Precision,0.0683750695185891,Precision,1B
2_4,4,2,0,flower,Behavioral Recall,1,Fitness,1B
2_4,4,2,0,flower,One Align,0.0824073204578416,Precision,1B
2_4,4,2,0,flower,Token Based Fitness,1,Fitness,1B
2_4,4,2,0,heuristics,Alignment Based Generalization,0,Generalization,1B
2_4,4,2,0,heuristics,Alignment Based Precision,0,Precision,1B
2_4,4,2,0,heuristics,Behavioral Generalization,0.887856117381114,Generalization,1B
2_4,4,2,0,heuristics,Behavioral Precision,0.881139231756353,Precision,1B
2_4,4,2,0,heuristics,Behavioral Recall,0.957970003487967,Fitness,1B
2_4,4,2,0,heuristics,Token Based Fitness,0.989492535591126,Fitness,1B
2_4,4,2,0,ILP,Alignment Based Generalization,0,Generalization,1B
2_4,4,2,0,ILP,Behavioral Generalization,1,Generalization,1B
2_4,4,2,0,ILP,Behavioral Precision,0.302506333043796,Precision,1B
2_4,4,2,0,ILP,Behavioral Recall,1,Fitness,1B
2_4,4,2,0,ILP,One Align,0,Precision,1B
2_4,4,2,0,ILP,Token Based Fitness,0.976130664348602,Fitness,1B
2_4,4,2,0,inductive,Alignment Based Generalization,0,Generalization,1B
2_4,4,2,0,inductive,Alignment Based Precision,0,Precision,1B
2_4,4,2,0,inductive,Behavioral Generalization,0.887856117381114,Generalization,1B
2_4,4,2,0,inductive,Behavioral Precision,0.83760611242641,Precision,1B
2_4,4,2,0,inductive,Behavioral Recall,0.957970003487967,Fitness,1B
2_4,4,2,0,inductive,Token Based Fitness,0.983149170875549,Fitness,1B
2_4,4,2,1,alpha,Alignment Based Fitness,0.147654233755365,Fitness,1B
2_4,4,2,1,alpha,Alignment Based Generalization,0.999783399470899,Generalization,1B
